PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
Single Family Residential,3815 Glenwood Rd,Brooklyn,11210,769000,3,2.5,Brooklyn,1445,2375,1930,532,,40.6346836,-73.9396331
Single Family Residential,158-49 86th St,Howard Beach,11414,749000,5,2,Howard Beach,1434,5000,1950,522,,40.658483,-73.8462403
Single Family Residential,64-30 Alderton St,Rego Park,11374,805000,2,2,Rego Park,1417,2015,1939,568,,40.7226039,-73.859983
Condo/Co-op,101 Battery Ave Unit 1B,Brooklyn,11209,895000,3,2.5,Brooklyn,1400,,2018,639,,40.6169508,-74.0237161
Single Family Residential,98 Forrestal Ave,Staten Island,10312,589000,3,3,Annandale,1368,4635,1980,431,,40.5560658,-74.1783444
Condo/Co-op,20 Bayard St Unit 16b,Brooklyn,11211,1975000,2,2,Williamsburg,1368,,2005,1444,,40.7186705,-73.951714
Single Family Residential,25 Aspen Knolls Way,Staten Island,10312,379000,2,3,Arden Heights,1354,500,2004,280,151,40.5645034,-74.1848228
Single Family Residential,73-21 70th St,Glendale,11385,718000,3,2.5,Glendale,1344,2017,1910,534,,40.701122,-73.880375
Condo/Co-op,327 101 St Unit 1A,Brooklyn,11209,739000,2,2.5,Brooklyn,1325,,2006,558,,40.6128631,-74.0348855
Condo/Co-op,142-05 Roosevelt Ave #425,Flushing,11354,570000,3,2,Barbizon,1300,,1965,438,1013,40.761002,-73.825895
Single Family Residential,89-07 96th St,Woodhaven,11421,590000,4,2,Woodhaven,1296,2000,1920,455,,40.6917772,-73.8479264
Townhouse,3411 Cannon Pl,BRONX,10463,739000,3,2.5,BRONX,1280,,1935,577,,40.879904,-73.898436
Single Family Residential,364 A Mosel Ave,Staten Island,10304,338888,2,1,Concord,1248,544,1987,272,164,40.607738,-74.0818479
Single Family Residential,76 Nautilus St,Staten Island,10305,639000,3,3,Shore Acres,1224,2500,1915,522,,40.610543,-74.0625182
Condo/Co-op,87 Admiral Ct #88,BRONX,10473,465000,3,2,Shorehaven Harbour Point,1206,,2005,386,494,40.806501,-73.852824
Multi-Family (2-4 Unit),183 Sheffield Ave,Brooklyn,11207,549000,3,2,Brooklyn,1200,2500,1901,458,,40.6728067,-73.8969489
Single Family Residential,93-19 205th St,Hollis,11423,689000,4,2,Hollis,1160,3300,1930,594,,40.715503,-73.756141
Single Family Residential,75 Cannon Ave,Staten Island,10314,575000,3,2,Travis,1152,4724,1950,499,,40.5947237,-74.1873671
Single Family Residential,54-31 44 St,Maspeth,11378,749000,4,2,Maspeth,1125,1700,1925,666,,40.7310039,-73.9232863
Single Family Residential,54 Blackford Ave,Yonkers,10704,449000,2,1,Yonkers,1100,7366,1920,408,,40.9095319,-73.8590207
Single Family Residential,5 Highview Ave,Staten Island,10301,450000,3,1,New Brighton,1088,2800,1899,414,,40.6446502,-74.0897252
Townhouse,36-37 32nd St,Astoria,11106,989000,2,1.5,Astoria,1060,1683,1910,933,,40.7551991,-73.929577
Condo/Co-op,1075 Sheepshead Bay Road Rd Unit 5-T,Brooklyn,11229,349000,2,1,Brooklyn,1050,,,332,,40.5938003,-73.9583151
Single Family Residential,6 Wayne St,Staten Island,10310,329900,3,1,West Brighton,1035,1290,1990,319,,40.6381234,-74.1153591
Single Family Residential,564 Drumgoole Rd W,Staten Island,10312,499900,2,2,Annandale,1019,1513,1991,491,,40.5571536,-74.1756709
Condo/Co-op,515 E 7th St Unit 2M,Brooklyn,11218,575000,2,1,Brooklyn,1000,,1961,575,,40.6393194,-73.9715702
